Cliente_Final,COD UNID,Servicio_Limpio,Personal_Real,Compañía_PA,Nombre_Cliente_PA,Nombre_Unidad_PA,Nombre_Servicio_PA,Clave_Mezclado,Cliente_Final_right,Unidad_Str,Servicio_Limpio_right,Personal_Estimado,Compañía_SV,Nombre_Cliente_SV,Nombre_Unidad_SV,Nombre_Servicio_SV,Zona_SV,Macrozona_SV,Diferencia,Cobertura_Pct,Estado
134997,21229.0,95,4,J&V Resguardo S.A.C.,HITACHI ENERGY PERU S.A.,Hitachi Energy Local Lurín,AGENTE SEGURIDAD 24 HRS L/D,134997_21229_95,134997,21229,95,4.666666666666667,J&V Resguardo S.A.C.,HITACHI ENERGY PERU S.A.,Hitachi Energy Local Lurín,AGENTE SEGURIDAD 24 HRS L/D,ZONA S7,ZONA SUR,-0.67,85.71,FALTA
,,,0,,,,,60776_26083_42,60776,26083,42,11.666666666666666,J&V Resguardo S.A.C.,HERMES TRANSPORTES BLINDADOS  S A,Serv. Adic. BN - Paccha,AGENTE SEGURIDAD 12 HRS L/D NOCHE,REGION CAJAMARCA,REGION NORTE,,,INDETERMINADO
7409,6633.0,48,7,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Campus San Miguel,AGENTE SEGURIDAD 12 HRS L/S DÍA,7409_6633_48,7409,6633,48,9.0,J&V Resguardo S.A.C.,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,UPC Campus San Miguel,AGENTE SEGURIDAD 12 HRS L/S DÍA,ZONA C9,ZONA CENTRO,-2.0,77.78,FALTA
71436,14023.0,113,3,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Oficina Miraflores,OPERADOR CENTRO CONTROL 24 HRS L/D,71436_14023_113,71436,14023,113,2.3333333333333335,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Oficina Miraflores,OPERADOR CENTRO CONTROL 24 HRS L/D,ZONA C12,ZONA CENTRO,0.67,128.57,SOBRECARGA
71436,9701.0,165,2,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Molino Callao,SUPERVISOR SEGURIDAD 24 HRS L/D,71436_9701_165,71436,9701,165,2.3333333333333335,J&V Resguardo S.A.C.,ALICORP SAA,Alicorp Molino Callao,SUPERVISOR SEGURIDAD 24 HRS L/D,ZONA N1,ZONA NORTE,-0.33,85.71,FALTA
83736,26664.0,Q55,1,J&V Resguardo S.A.C.,MARCOBRE S.A.C.,Mina Justa Puerto,SUPERVISOR OPERARIVO SENIOR 12 HRS L/D ROTATIVO,83736_26664_Q55,83736,26664,Q55,1.5,J&V Resguardo S.A.C.,MARCOBRE S.A.C.,Mina Justa Puerto,SUPERVISOR OPERARIVO SENIOR 12 HRS L/D ROTATIVO,REGION ICA,REGION SUR,-0.5,66.67,FALTA
110068,9655.0,95,2,J&V Resguardo S.A.C.,"MONTERO ARAMBURU, EDUARDO",Residencia Las Cascadas,AGENTE SEGURIDAD 24 HRS L/D,110068_9655_95,110068,9655,95,2.3333333333333335,J&V Resguardo S.A.C.,"MONTERO ARAMBURU, EDUARDO",Residencia Las Cascadas,AGENTE SEGURIDAD 24 HRS L/D,ZONA RG1,ZONA RESIDENCIAS,-0.33,85.71,FALTA
59493,19539.0,460,4,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Centro de Convenciones Esquilache,OPERADOR CENTRO CONTROL 24 HRS L/D (3 TURNOS),59493_19539_460,59493,19539,460,3.5,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Centro de Convenciones Esquilache,OPERADOR CENTRO CONTROL 24 HRS L/D (3 TURNOS),ZONA C6,ZONA CENTRO,0.5,114.29,SOBRECARGA
23418,19678.0,95,2,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Local Mora Tomas Fotograficas,AGENTE SEGURIDAD 24 HRS L/D,23418_19678_95,23418,19678,95,2.3333333333333335,J&V Resguardo S.A.C.,IMPALA TERMINALS PERU S.A.C.,Impala Local Mora Tomas Fotograficas,AGENTE SEGURIDAD 24 HRS L/D,ZONA N9,ZONA NORTE,-0.33,85.71,FALTA
116365,13291.0,95,3,J&V Resguardo S.A.C.,PROMOCION INMOBILIARIA DEL SUR S.A.C. - PRINSUR,Pampas Lurín II Macropolis,AGENTE SEGURIDAD 24 HRS L/D,116365_13291_95,116365,13291,95,4.666666666666667,J&V Resguardo S.A.C.,PROMOCION INMOBILIARIA DEL SUR S.A.C. - PRINSUR,Pampas Lurín II Macropolis,AGENTE SEGURIDAD 24 HRS L/D,ZONA RT3,ZONA RETAIL,-1.67,64.29,FALTA
