Cliente,Unidad,Servicio,Personal_Estimado,COMPAÑÍA_SV,CLIENTE_SV,UNIDAD_SV,SERVICIO_SV,Factor_Personas_Promedio,Fecha_Servicio,Registros_Agregados,Clave_Servicio,COD CLIENTE,COD UNID,COD SERVICIO,Personal_Real,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Total_Registros,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL,Diferencia_Personal,Porcentaje_Cobertura,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
75979,15136, 37,1,J&V Resguardo S.A.C.,75979,15136, 37,0.16666666666666666,2025-03-23,1,75979_15136_ 37,,,,0,,,,,,75979,15136, 37,,,0,0,FALTA
113623,10974, 95,2,J&V Resguardo S.A.C.,113623,10974, 95,0.16666666666666666,2025-01-01,1,113623_10974_ 95,,,,0,,,,,,113623,10974, 95,,,0,0,FALTA
98454,20524,F70,3,J&V Resguardo S.A.C.,98454,20524,F70,0.0,2025-01-01,1,98454_20524_F70,98454,20524,F70,3,J&V Resguardo S.A.C.,XIMESA S.A.C.,Reyplast Servicio de Seguridad 03,RESGUARDO 08 HRS L/S DÍA,3,98454,20524,F70,0,100.0,0,0,EXACTO
9463,26505,P72,1,J&V Resguardo S.A.C.,9463,26505,P72,0.0,2025-05-01,1,9463_26505_P72,9463,26505,P72,1,J&V Resguardo S.A.C.,BANCO INTERNACIONAL DEL PERU-INTERBANK,Interbank Adjudicados San Borja,"AGENTE SEGURIDAD 12 HRS DIA (M,J,S)",1,9463,26505,P72,0,100.0,0,0,EXACTO
131195,14679, 30,1,J&V Resguardo S.A.C.,131195,14679, 30,0.16666666666666666,2022-09-29,1,131195_14679_ 30,,,,0,,,,,,131195,14679, 30,,,0,0,FALTA
22776,15132, 95,2,J&V Resguardo S.A.C.,22776,15132, 95,0.16666666666666666,2019-07-01,1,22776_15132_ 95,,,,0,,,,,,22776,15132, 95,,,0,0,FALTA
56948,1472, 41,1,J&V Resguardo Selva S.A.C.,56948,1472, 41,0.16666666666666666,2012-10-01,1,56948_1472_ 41,,,,0,,,,,,56948,1472, 41,,,0,0,FALTA
62544,21915,106,2,J&V Resguardo S.A.C.,62544,21915,106,0.16666666666666666,2024-07-01,1,62544_21915_106,62544,21915,106,3,J&V Resguardo S.A.C.,FARMINDUSTRIA S.A.,Farmindustria Edificio César Vallejo Lince,JEFE DE GRUPO 24 HRS L/D,3,62544,21915,106,1,150.0,0,1,SOBRECARGA
7044,2638,156,1,J&V Resguardo S.A.C.,7044,2638,156,0.0,2013-04-01,1,7044_2638_156,7044,2638,156,1,J&V Resguardo S.A.C.,RIMAC SEGUROS Y REASEGUROS,Rimac Oficina San Isidro 650,SUPERVISOR SEGURIDAD 12 HRS L/S (DIA),1,7044,2638,156,0,100.0,0,0,EXACTO
75608,2680,605,1,J&V Resguardo S.A.C.,75608,2680,605,0.5,2025-05-13,1,75608_2680_605,75608,2680,605,1,J&V Resguardo S.A.C.,TECNOLOGICA DE ALIMENTOS S.A.,Tasa Planta Malabrigo,AGENTE SEGURIDAD 12 HRS L/D (NOCHE) (Acuartelado),1,75608,2680,605,0,100.0,0,0,EXACTO
