COMPAÑÍA_SV,Cliente,Unidad,Servicio,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Porcentaje_Cobertura_Total,Cobertura_Diferencial,Eficiencia_Asignacion,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,59493,17648,18,0,1.0,1,0.0,0.0,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,56948,4412,42,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,75608,5421,41,1,2.67,2,0.16666666666666666,0.3333333333333333,37.45,-1.67,100.0,1.67,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,119242,11750,080,0,1.31,1,0.15384615384615385,0.15384615384615385,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,7044,20470,95,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,99927,15272,856,1,1.0,1,0.0,0.0,100.0,0.0,100.0,0.0,0.0,EXACTO
J&V Resguardo S.A.C.,70588,13233,95,3,2.67,2,0.16666666666666666,0.3333333333333333,112.36,0.33000000000000007,89.0,0.0,0.33000000000000007,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,106658,9371,41,1,1.33,1,0.16666666666666666,0.16666666666666666,75.19,-0.33000000000000007,100.0,0.33000000000000007,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,59493,17668,95,3,2.67,2,0.16666666666666666,0.3333333333333333,112.36,0.33000000000000007,89.0,0.0,0.33000000000000007,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,134403,20428,95,2,2.67,2,0.16666666666666666,0.3333333333333333,74.91,-0.6699999999999999,100.0,0.6699999999999999,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,131380,23097,95,3,2.67,2,0.16666666666666666,0.3333333333333333,112.36,0.33000000000000007,89.0,0.0,0.33000000000000007,SOBRECARGA_LEVE
