Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Eficiencia_Asignacion_Pct,Estado_Asignacion
J&V Resguardo S.A.C.,67486,8162,P01,2024-08-01,2099-12-31,4,4.67,4,0.16666666666666666,0.6666666666666666,85.65,-0.67,0.67,0.0,100.0,FALTA_LEVE
Liderman Servicios S.A.C.,54550,25945,F36,2024-09-16,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,70588,13229,41,2021-04-05,2099-12-31,5,3.5,3,0.16666666666666666,0.5,142.86,1.5,0.0,1.5,70.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,152595,23370,41,2025-05-06,2025-05-06,0,1.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,111212,21772,23,2025-05-05,2025-05-09,0,1.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,59493,17635,152,2016-08-01,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,136519,17169,95,2019-11-22,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,146310,20310,95,2025-05-01,2099-12-31,3,2.8,2,0.16666666666666666,0.8,107.14,0.2,0.0,0.2,93.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,120402,12115,95,2017-11-07,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,97718,7877,53,2020-05-01,2099-12-31,2,1.0,1,0.0,0.0,200.0,1.0,0.0,1.0,50.0,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,163887,23476,L39,2024-02-01,2099-12-31,0,1.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,111212,21771,41,2025-01-01,2099-12-31,3,1.17,1,0.16666666666666666,0.16666666666666666,256.41,1.83,0.0,1.83,39.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,66965,22934,372,2023-03-20,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,90912,8807,95,2016-02-15,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,167730,23807,B69,2023-12-13,2099-12-31,3,1.0,1,0.0,0.0,300.0,2.0,0.0,2.0,33.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,22888,372,271,2017-09-01,2099-12-31,1,1.17,1,0.16666666666666666,0.16666666666666666,85.47,-0.17,0.17,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,23418,19678,95,2024-05-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,7592,4994,F93,2025-01-01,2099-12-31,2,3.5,2,0.75,1.5,57.14,-1.5,1.5,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,8330,23851,42,2024-07-01,2099-12-31,2,1.17,1,0.16666666666666666,0.16666666666666666,170.94,0.83,0.0,0.83,58.5,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,24449,22425,41,2025-05-10,2025-05-10,0,1.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,8795,3189,95,2017-09-01,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,88625,20448,18,2022-04-21,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,82747,3218,95,2023-01-01,2099-12-31,3,2.33,2,0.16666666666666666,0.3333333333333333,128.76,0.67,0.0,0.67,77.67,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,63449,3082,48,2018-07-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,8386,13959,C44,2020-05-11,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,102591,8356,026,2024-04-10,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,59077,1510,80,2023-01-10,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,83736,26664,Q54,2025-04-01,2099-12-31,2,3.0,2,0.5,1.0,66.67,-1.0,1.0,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,98665,7863,53,2025-01-01,2099-12-31,2,2.0,2,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,59493,17653,95,2023-03-06,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
J&V Resguardo S.A.C.,144638,25979,42,2024-12-09,2099-12-31,0,1.5,1,0.5,0.5,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,86429,21719,41,2025-05-04,2025-05-04,0,1.17,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,122009,12675,156,2018-02-16,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,59493,17635,374,2023-01-09,2099-12-31,5,4.67,4,0.16666666666666666,0.6666666666666666,107.07,0.33,0.0,0.33,93.4,SOBRECARGA_LEVE
Liderman Servicios S.A.C.,144133,22452,F20,2022-10-18,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,9463,21851,59,2022-08-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,59493,17635,42,2020-03-17,2099-12-31,3,1.17,1,0.16666666666666666,0.16666666666666666,256.41,1.83,0.0,1.83,39.0,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,59493,9527,95,2023-06-12,2099-12-31,12,2.33,2,0.16666666666666666,0.3333333333333333,515.02,9.67,0.0,9.67,19.42,SOBRECARGA
J&V Resguardo S.A.C.,9463,22048,59,2022-08-01,2099-12-31,0,1.0,1,0.0,0.0,,,0.0,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,62594,20171,709,2025-05-01,2099-12-31,37,54.0,36,0.5,18.0,68.52,-17.0,17.0,0.0,100.0,FALTA
J&V Resguardo S.A.C.,60776,25635,26,2024-08-01,2099-12-31,1,1.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,EXACTO
J&V Resguardo S.A.C.,83736,26663,Q55,2025-05-01,2099-12-31,1,1.5,1,0.5,0.5,66.67,-0.5,0.5,0.0,100.0,FALTA_LEVE
Liderman Servicios S.A.C.,54550,23330,F35,2023-06-01,2099-12-31,2,2.33,2,0.16666666666666666,0.3333333333333333,85.84,-0.33,0.33,0.0,100.0,FALTA_LEVE
