Compañía,NOMBRE_CLIENTE,Cliente,NOMBRE_UNIDAD,Unidad,NOMBRE_SERVICIO,Servicio,Grupo,NOMBRE_GRUPO,MACROZONA,ZONA,Fecha_Inicio_Min,Fecha_Fin_Max,Personal_Real,Personal_Estimado,Personal_Base,Factor_Promedio,Descanseros_Total,Cobertura_Total_Pct,Cobertura_Diferencial,Personal_Faltante,Personal_Sobrante,Estado_Asignacion
J&V Resguardo S.A.C.,JJC CONTRATISTAS GENERALES S.A.,59079,JJC Contratistas Grales. UDE Chilca,3134,AGENTE SEGURIDAD 12 HRS L/D NOCHE,42,"","",ZONA SUR,ZONA S5,2023-05-27,2099-12-31,2,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,171.43,0.83,0.0,0.83,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,"MONTERO ARAMBURU, EDUARDO",110068,Residencia Las Cascadas,9655,AGENTE SEGURIDAD 24 HRS L/D,95,"","",ZONA RESIDENCIAS,ZONA RG1,2022-05-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,GRUPO CREDITO S.A.,137596,Resguardo Residencia Romero LRB,20421,RESGUARDO 15 HRS L/D (DÍA),885,"","",ZONA RESGUARDOS,ZONA CR2,2025-01-01,2099-12-31,7,5.833333333333333,5,0.16666666666666666,0.8333333333333333,120.0,1.17,0.0,1.17,SOBRECARGA_LEVE
J&V Resguardo Selva S.A.C.,SOLGAS S.A.,23001,Solgas Planta Pucallpa,26421,AGENTE SEGURIDAD 24 HRS L/D,95,"","",REGION ORIENTE,REGION UCAYALI,2025-03-01,2099-12-31,5,4.666666666666667,4,0.16666666666666666,0.6666666666666666,107.14,0.33,0.0,0.33,SOBRECARGA_LEVE
J&V Resguardo S.A.C.,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER",62594,Southern Administrativo (Tareo),21426,ASISTENTE ADMINISTRATIVO 12 HRS L/D (DÍA),958,"","",REGION SUR,REGION MOQUEGUA,2022-01-22,2099-12-31,1,1.5,1,0.5,0.5,66.67,-0.5,0.5,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,AGROINDUSTRIAL DEL PERU SOCIEDAD ANONIMA CERRADA,55712,Guardianía El Pedregal,15125,GUARDIAN 24 HRS L/D,080,0002,GRUPO GLORIA,REGION SUR,REGION AREQUIPA,2019-07-01,2099-12-31,0,1.1538461538461537,1,0.15384615384615385,0.15384615384615385,,,0.0,0.0,NO_PLANIFICADO
Liderman Servicios S.A.C.,INMOBILIARIA SIC S.A.,157772,C. Comercial San Isidro Parking,22780,SUPERVISOR OPERATIVO 8 HRS L/D TARDE,L80,"","",ZONA PARKING Y DELIVERY,ZONA PD2,2023-01-01,2099-12-31,0,1.1666666666666667,1,0.16666666666666666,0.16666666666666666,,,0.0,0.0,NO_PLANIFICADO
J&V Resguardo S.A.C.,REAL PLAZA S.R.L.,70588,Real Plaza Arequipa,13227,PREVENCIONISTA 24 HRS L/D,882,"","",REGION SUR,REGION AREQUIPA,2018-09-01,2099-12-31,2,2.3333333333333335,2,0.16666666666666666,0.3333333333333333,85.71,-0.33,0.33,0.0,FALTA_LEVE
J&V Resguardo S.A.C.,COMPAÑIA MINERA ANTAMINA S.A.,7592,Antamina Adicional Ichi Colla 2,10950,GUARDIAN ESTACION DE VALVULAS Y PRESION 08 HRS L/D DÍA,F97,"","",REGION NORTE,REGION HUARAZ,2021-11-01,2099-12-31,9,21.0,18,0.16666666666666666,3.0,42.86,-12.0,12.0,0.0,FALTA
J&V Resguardo S.A.C.,ADMINISTRACION INMOBILIARIA SOCIEDAD ANONIMA CERRA,22739,Binswanger Edificio Fibra San Isidro,10416,AGENTE SEGURIDAD 24 HRS L/D (3 TURNOS),345,"","",ZONA CENTRO,ZONA C7,2025-01-01,2099-12-31,7,7.0,6,0.16666666666666666,1.0,100.0,0.0,0.0,0.0,EXACTO
