Cliente_Key,COD UNID,COD SERVICIO,Personal_Real,Cliente_Nombre,Cliente_Key_right,Unidad,Servicio,Personal_Estimado,Cliente_Nombre_right,Cliente,Estado
73633,2421,B54,7,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,73633,2421,B54,7.0,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,FARGOLINE SOCIEDAD ANONIMA - FARGOLINE S.A.,EXACTO
161360,23053,165,2,INDUSTRY & LOGISTICS MANAGEMENT SOCIEDAD ANONIMA,161360,23053,165,2.3333333333333335,INDUSTRY & LOGISTICS MANAGEMENT SOCIEDAD ANONIMA,INDUSTRY & LOGISTICS MANAGEMENT SOCIEDAD ANONIMA,FALTA
,,,0,,0075,9492,097,1.5,"","",SIN_DATOS
,,,0,,61607,10233, 41,3.5,MONTANA S A,MONTANA S A,SIN_DATOS
70588,26435,446,1,REAL PLAZA S.R.L.,70588,26435,446,1.0,REAL PLAZA S.R.L.,REAL PLAZA S.R.L.,EXACTO
,,,0,,188347,26521, 99,2.0,VILLA MBC LOGISTICA S.A.C.,VILLA MBC LOGISTICA S.A.C.,SIN_DATOS
,,,0,,99112,7731, 42,3.5,AGROAURORA SOCIEDAD ANONIMA CERRADA - AGROAURORA S,AGROAURORA SOCIEDAD ANONIMA CERRADA - AGROAURORA S,SIN_DATOS
,,,0,,71436,9700, 95,4.666666666666667,ALICORP SAA,ALICORP SAA,SIN_DATOS
,,,0,,64608,9754, 95,2.3333333333333335,DIVECENTER S.A.C.,DIVECENTER S.A.C.,SIN_DATOS
62594,20171,709,37,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",62594,20171,709,54.0,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PER","SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",FALTA
,,,0,,62803,21906, 27,1.0,NEOSALUD S.A.C.,NEOSALUD S.A.C.,SIN_DATOS
,,,0,,134103,25665, 95,2.3333333333333335,MINERA BOROO MISQUICHILCA S.A.,MINERA BOROO MISQUICHILCA S.A.,SIN_DATOS
