Cliente_Codigo;Unidad_Codigo;Servicio_Codigo;Personal_Real;Personal_Estimado;Diferencia;Cobertura_Pct;Estado;Es_Numerico;Longitud_Codigo
106658;11210;Q68;1;0;1;0;SOBRECARGA;106658;6
79127;2952;Q80;0;0;;0;SIN_DATOS;79127;5
7093;23261; 95;0;0;;0;SIN_DATOS;7093;4
102591;8359;42;1;0;;0;SIN_DATOS;102591;6
58098;1874;95;7;0;;0;SIN_DATOS;58098;5
10864;847;48;3;0;;0;SIN_DATOS;10864;5
59493;9517;48;1;0;;0;SIN_DATOS;59493;5
58098;1872;95;4;0;;0;SIN_DATOS;58098;5
125953;23437;23;1;0;;0;SIN_DATOS;125953;6
131195;14679;30;1;0;;0;SIN_DATOS;131195;6
129899;14230;42;2;0;;0;SIN_DATOS;129899;6
70588;13233;41;5;0;;0;SIN_DATOS;70588;5
148909;21068;95;3;0;;0;SIN_DATOS;148909;6
77526;4660;95;2;0;;0;SIN_DATOS;77526;5
64608;26436;95;2;0;;0;SIN_DATOS;64608;5
56948;26;16;1;0;;0;SIN_DATOS;56948;5
81865;4505;95;2;0;;0;SIN_DATOS;81865;5
74359;26176;95;5;0;;0;SIN_DATOS;74359;5
82747;4105;48;2;0;;0;SIN_DATOS;82747;5
56540;1041;95;4;0;;0;SIN_DATOS;56540;5
81865;16129;95;9;0;;0;SIN_DATOS;81865;5
24546;12946;95;2;0;;0;SIN_DATOS;24546;5
23089;8370;37;1;0;;0;SIN_DATOS;23089;5
120289;13896;95;3;0;;0;SIN_DATOS;120289;6
23001;26416;95;6;0;;0;SIN_DATOS;23001;5
62007;22188;99;3;0;;0;SIN_DATOS;62007;5
7409;18940;41;1;0;;0;SIN_DATOS;7409;4
111592;13607;41;1;0;;0;SIN_DATOS;111592;6
121436;26292;95;2;0;;0;SIN_DATOS;121436;6
146309;20298;42;1;0;;0;SIN_DATOS;146309;6
206688;26042;95;3;0;;0;SIN_DATOS;206688;6
11883;25149;29;1;0;;0;SIN_DATOS;11883;5
133200;18914;95;2;0;;0;SIN_DATOS;133200;6
23514;95;97;1;0;;0;SIN_DATOS;23514;5
59493;13261;48;1;0;;0;SIN_DATOS;59493;5
22776;301;95;32;0;;0;SIN_DATOS;22776;5
63394;16331;30;2;0;;0;SIN_DATOS;63394;5
55081;7505;95;24;0;;0;SIN_DATOS;55081;5
73633;2439;95;5;0;;0;SIN_DATOS;73633;5
159452;22903;95;2;0;;0;SIN_DATOS;159452;6
75599;2584;95;45;0;;0;SIN_DATOS;75599;5
24546;21012;95;2;0;;0;SIN_DATOS;24546;5
90912;5066;95;2;0;;0;SIN_DATOS;90912;5
116365;19600;41;1;0;;0;SIN_DATOS;116365;6
62594;15024;Q73;3;0;;0;SIN_DATOS;62594;5
7006;20057;95;2;0;;0;SIN_DATOS;7006;4
85652;1694;95;2;0;;0;SIN_DATOS;85652;5
90912;5055;95;3;0;;0;SIN_DATOS;90912;5
61607;2262;95;5;0;;0;SIN_DATOS;61607;5
81865;11838;48;2;0;;0;SIN_DATOS;81865;5
103280;8555;41;1;0;;0;SIN_DATOS;103280;6
70948;8415;95;2;0;;0;SIN_DATOS;70948;5
88625;20448;53;1;0;;0;SIN_DATOS;88625;5
7904;2250;95;3;0;;0;SIN_DATOS;7904;4
65770;20301;95;9;0;;0;SIN_DATOS;65770;5
