COD CLIENTE,COD UNID,COD SERVICIO,Compañía,Cliente,Unidad,Servicio,F. Inicio,Fecha Fin,Personal_Requerido,Personal_Estimado,Personal_Real,Déficit_Superávit,% Cobertura,Estado,Registros_Totales,Registros_Duplicados,Origen_Registro,Lider Zonal,Zona,MacroZona
,,,J&V Resguardo S.A.C.,DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SOCIEDAD ANONIMA,Exportaciones Huachipa,INSPECTOR DE PATRIMONIO 12 HRS L/S (NOCHE),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LECHE GLORIA SOCIEDAD ANONIMA - GLORIA S.A.,Planta Huachipa,INSPECTOR DE PATRIMONIO 12 HRS L/D DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Neoagrum Local Cajamarquilla,AGENTE SEGURIDAD 12 HRS L/S DÍA,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Conductor Sierra Victor,RESGUARDO 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,PSA MARINE PERU S.A.,PSA Marine Talara,AGENTE SEGURIDAD 12 HRS L/D NOCHE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,UNIVERSIDAD DE INGENIERIA Y TECNOLOGIA,UTEC Servicio de Resguardo,CONDUCTOR RESGUARDO 12 HRS. L/S (DÍA),,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Planta Huachipa Operador CC,SUPERVISOR CENTRO CONTROL 12 HRS L/D NOCHE,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LOS PORTALES S.A.,Los Portales de la Padrera Chimbote,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,3,,inf,Sin_Datos,3,0,Solo_Asignado,,,
,,,Liderman Facilities S.A.C.,SIFRAH BIJOU S.A.C.,Sifrah El Derby,OPERADOR DE LIMPIEZA  10:30 HRS L/J + 11 HRS SÁB DIA,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,J & V RESGUARDO S.A.C.,Zona BIENESTAR SOCIAL - Pulpo SUBMA - SUBEN - DM(Alargados),AGENTE SEGURIDAD 08 HRS L/D DÍA,,,0,0.0,7,,inf,Sin_Datos,7,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,ALICORP SAA,Serv. Adic. Alicorp DT Predio Central,AGENTE SEGURIDAD 08 HRS L/D TARDE,,,0,0.0,7,,inf,Sin_Datos,7,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Neoagrum Local Cajamarquilla,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,5,,inf,Sin_Datos,5,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,LOS PORTALES S.A.,Los Portales Sol de Alameda Lambayeque,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,2,,inf,Sin_Datos,2,0,Solo_Asignado,,,
,,,Liderman Servicios S.A.C.,LIDERMAN SERVICIOS S.A.C.,Zona Parking y Delivery - Pulpo Serv. Pend. Fact.,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,1,,inf,Sin_Datos,1,0,Solo_Asignado,,,
,,,J&V Resguardo S.A.C.,(en blanco),Roche Sede San Isidro,AGENTE SEGURIDAD 24 HRS L/D,,,0,0.0,4,,inf,Sin_Datos,4,0,Solo_Asignado,,,
