COMPAÑÍA,COD CLIENTE,COD UNID,COD_SERV_JOIN,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal Real,Deficit/Superavit,% Cobertura,% Cobertura Sobrante/Faltante,Estado
Liderman Servicios S.A.C.,54554,23604,M79,2023-08-01,2099-12-31,1,1.0,PROFUTURO AFP,PROFUTURO AFP SEDE SAN ISIDRO,AGENTE MOTORIZADO PARKING 09 HRS L/V DÍA,JESUS BRACAMONTE,ZONA PD1,ZONA PARKING Y DELIVERY,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,23597,628,106,2003-04-01,2099-12-31,2,2.3333333333333335,FOSFORERA PERUANA S.A.,FOSFORERA LOCAL PLANTA ATE,JEFE DE GRUPO 24 HRS L/D,ESTEBAN CANDELA,ZONA C2,ZONA CENTRO,3,0.6666666666666665,128.57142857142856,28.57142857142856,Excedente
J&V Resguardo S.A.C.,77667,18966,95,2024-11-01,2099-12-31,2,2.3333333333333335,PESQUERA DIAMANTE S.A.,PESQUERA DIAMANTE PLANTA CALLAO,AGENTE SEGURIDAD 24 HRS L/D,BRADDI CUEVA,ZONA N6,ZONA NORTE,14,11.666666666666666,600.0,500.0,Excedente
J&V Resguardo S.A.C.,22776,15132,95,2019-07-01,2099-12-31,2,2.3333333333333335,CAL & CEMENTO SUR S.A.,RONDA PLANTA CARACOTO,AGENTE SEGURIDAD 24 HRS L/D,JUAN CARLOS LEON,REGION PUNO,REGION SUR,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,70028,2083,95,2023-09-01,2099-12-31,2,2.3333333333333335,RICOH DEL PERU S.A.C.,RICOH SEDE SURQUILLO,AGENTE SEGURIDAD 24 HRS L/D,GABRIEL HERNANDEZ,ZONA S3,ZONA SUR,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
J&V Resguardo S.A.C.,75979,6554,446,2019-07-01,2099-12-31,1,1.0,CONCRETOS SUPERMIX SOCIEDAD ANONIMA - CONCRETOS SU,PLANTA VARIANTE UCHUMAYO,COORDINADOR 12 HRS L/S DIA,PERCY PEREZ,REGION AREQUIPA,REGION SUR,1,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,81865,8593,42,2024-05-01,2099-12-31,1,1.1666666666666667,SISTEMAS DE ADMINISTRACION HOSPITALARIA S.A.C.,SANNA CLÍNICA EL GOLF,AGENTE SEGURIDAD 12 HRS L/D NOCHE,JHOMAR MONTENEGRO,ZONA C10,ZONA CENTRO,2,0.8333333333333333,171.42857142857142,71.42857142857142,Excedente
J&V Resguardo S.A.C.,9463,26648,D96,2025-05-11,2025-05-11,1,1.1666666666666667,BANCO INTERNACIONAL DEL PERU-INTERBANK,SERV. ADIC. INTERBANK 400 TIENDA ICA,AGENTE SEGURIDAD 18 HRS L/D DÍA,LUIS MELO,REGION ICA,REGION SUR,0,,,,Déficit
J&V Resguardo S.A.C.,77526,4660,B07,2018-02-01,2099-12-31,3,3.0,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,CMBV EDIFICIO LAS BEGONIAS,OPERADOR CONTROL TRANSITO 24 HRS L/V (3 TURNOS) + 12 HRS SAB Y DOM DIA,WASHINGTON CHINININ,ZONA C6,ZONA CENTRO,3,0.0,100.0,0.0,Completo
J&V Resguardo S.A.C.,62007,22189,95,2022-09-01,2099-12-31,2,2.3333333333333335,CONTRANS S.A.C.,CONTRANS DAS LURÍN,AGENTE SEGURIDAD 24 HRS L/D,FERNANDO YUCRA,ZONA S7,ZONA SUR,2,-0.3333333333333335,85.71428571428571,-14.28571428571429,Déficit
