COD CLIENTE,COD UNID,COD SERVICIO,F. Inicio,Fecha Fin,Requeridos_sum,PersonalEstimado_sum,COMPAÑÍA,CLIENTE,UNIDAD,SERVICIO,Lider Zonal,Zona,macro zona,Personal_Real,Total_Registros,COMPAÑÍA_ASIG,CLIENTE_ASIG,UNIDAD_ASIG,SERVICIO_ASIG,Registros_Duplicados,CLIENTE_FINAL,UNIDAD_FINAL,SERVICIO_FINAL
59493,17653,95,2023-03-06,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP FACULTAD DE ARQUITECTURA Y URBANISMO,AGENTE SEGURIDAD 24 HRS L/D,ALEJANDRO RIVAS,ZONA N8,ZONA NORTE,2,2,J&V Resguardo S.A.C.,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP Facultad de Arquitectura y Urbanismo,AGENTE SEGURIDAD 24 HRS L/D,0,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,PUCP FACULTAD DE ARQUITECTURA Y URBANISMO,AGENTE SEGURIDAD 24 HRS L/D
120215,20041,41,2021-12-03,2099-12-31,1,1.1666666666666667,J&V Resguardo S.A.C.,KALLPA GENERACION S.A.,SERV. ADIC. KALLPA FLORES,AGENTE SEGURIDAD 12 HRS L/D DÍA,GILMER GARCIA,ZONA S5,ZONA SUR,1,1,J&V Resguardo S.A.C.,KALLPA GENERACION S.A.,Serv. Adic. Kallpa Flores,AGENTE SEGURIDAD 12 HRS L/D DÍA,0,KALLPA GENERACION S.A.,SERV. ADIC. KALLPA FLORES,AGENTE SEGURIDAD 12 HRS L/D DÍA
86429,21444,95,2022-03-22,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,GAS NATURAL DE LIMA Y CALLAO S.A.,CALIDDA ERP MAQUINARIAS,AGENTE SEGURIDAD 24 HRS L/D,JORGE NAKANO,ZONA N1,ZONA NORTE,2,2,J&V Resguardo S.A.C.,GAS NATURAL DE LIMA Y CALLAO S.A.,Calidda ERP Maquinarias,AGENTE SEGURIDAD 24 HRS L/D,0,GAS NATURAL DE LIMA Y CALLAO S.A.,CALIDDA ERP MAQUINARIAS,AGENTE SEGURIDAD 24 HRS L/D
119803,26480,95,2025-03-17,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,DP WORLD CALLAO S.R.L.,DPW CALLAO PUERTO ESTACIONAMIENTO,AGENTE SEGURIDAD 24 HRS L/D,JUAN MAYHUIRE,ZONA N7,ZONA NORTE,2,2,J&V Resguardo S.A.C.,DP WORLD CALLAO S.R.L.,DPW Callao Puerto Estacionamiento,AGENTE SEGURIDAD 24 HRS L/D,0,DP WORLD CALLAO S.R.L.,DPW CALLAO PUERTO ESTACIONAMIENTO,AGENTE SEGURIDAD 24 HRS L/D
141641,23537,48,2023-07-24,2099-12-31,1,1.0,J&V Resguardo S.A.C.,CBC MARKET S.A.C.,CBC SALA DE VENTAS REAL PLAZA TRUJILLO,AGENTE SEGURIDAD 12 HRS L/S DÍA,JAN INGA,REGION TRUJILLO,REGION NORTE,1,1,J&V Resguardo S.A.C.,CBC MARKET S.A.C.,CBC Sala de Ventas Real Plaza Trujillo,AGENTE SEGURIDAD 12 HRS L/S DÍA,0,CBC MARKET S.A.C.,CBC SALA DE VENTAS REAL PLAZA TRUJILLO,AGENTE SEGURIDAD 12 HRS L/S DÍA
7006,16433,95,2022-10-01,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,REPSOL GRAU 2 LA VICTORIA,AGENTE SEGURIDAD 24 HRS L/D,WILFREDO NEIRA,ZONA C4,ZONA CENTRO,3,3,J&V Resguardo S.A.C.,REPSOL COMERCIAL SAC,Repsol Grau 2 La Victoria,AGENTE SEGURIDAD 24 HRS L/D,0,REPSOL COMERCIAL SAC,REPSOL GRAU 2 LA VICTORIA,AGENTE SEGURIDAD 24 HRS L/D
67379,1816,42,2017-10-01,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,HAUG S.A.,HAUG LOCAL LURÍN,AGENTE SEGURIDAD 12 HRS L/D NOCHE,HERNAN QUISPE,ZONA S6,ZONA SUR,8,8,J&V Resguardo S.A.C.,HAUG S.A.,Haug Local Lurín,AGENTE SEGURIDAD 12 HRS L/D NOCHE,0,HAUG S.A.,HAUG LOCAL LURÍN,AGENTE SEGURIDAD 12 HRS L/D NOCHE
106658,11210,G43,2020-12-16,2025-05-30,1,1.1666666666666667,J&V Resguardo S.A.C.,FUNERARIA JARDINES S.A - FUNJAR,FUNJAR LOCAL VILLA EL SALVADOR,AGENTE SEGURIDAD 12 HRS MIE Y JUE NOCHE,CARLOS HUAMAN,ZONA S2,ZONA SUR,0,,,,,,,FUNERARIA JARDINES S.A - FUNJAR,FUNJAR LOCAL VILLA EL SALVADOR,AGENTE SEGURIDAD 12 HRS MIE Y JUE NOCHE
55081,7499,444,2020-12-23,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM INLAND PRINCIPAL & DEMARES,COORDINADOR 24 HRS L/D,ALEXANDER ASCANIO,ZONA N5,ZONA NORTE,2,2,J&V Resguardo S.A.C.,MAERSK LOGISTICS & SERVICES PERU S.A.,APM Inland Principal & Demares,COORDINADOR 24 HRS L/D,0,MAERSK LOGISTICS & SERVICES PERU S.A.,APM INLAND PRINCIPAL & DEMARES,COORDINADOR 24 HRS L/D
56913,19728,95,2024-12-02,2099-12-31,2,2.3333333333333335,J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,BACKUS CD NORTE,AGENTE SEGURIDAD 24 HRS L/D,DANNY YATACO,ZONA N2,ZONA NORTE,8,8,J&V Resguardo S.A.C.,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SOCIEDAD ANÓNIMA,Backus CD Norte,AGENTE SEGURIDAD 24 HRS L/D,0,UNIÓN DE CERVECERÍAS PERUANAS BACKUS Y JOHNSTON SO,BACKUS CD NORTE,AGENTE SEGURIDAD 24 HRS L/D
